objectid,election_name,election_date,ward,total_votes,registered_voters_as_of,registered_voters,turnout
1,2023 General,2023/11/07,01,5446,2023/11/07,13137,0.415
2,2023 General,2023/11/07,02,8943,2023/11/07,20641,0.433
3,2023 General,2023/11/07,03,4113,2023/11/07,13325,0.309
4,2023 General,2023/11/07,04,3602,2023/11/07,13207,0.273
5,2023 General,2023/11/07,05,12581,2023/11/07,37477,0.336
6,2023 General,2023/11/07,06,2543,2023/11/07,9631,0.264
7,2023 General,2023/11/07,07,1528,2023/11/07,12391,0.123
8,2023 General,2023/11/07,08,12915,2023/11/07,34873,0.37
9,2023 General,2023/11/07,09,6720,2023/11/07,12399,0.542
10,2023 General,2023/11/07,10,6360,2023/11/07,16954,0.375
11,2023 General,2023/11/07,11,2176,2023/11/07,9302,0.234
12,2023 General,2023/11/07,12,4441,2023/11/07,15187,0.292
13,2023 General,2023/11/07,13,3780,2023/11/07,13492,0.28
14,2023 General,2023/11/07,14,1875,2023/11/07,6626,0.283
15,2023 General,2023/11/07,15,6844,2023/11/07,14757,0.464
16,2023 General,2023/11/07,16,1572,2023/11/07,7531,0.209
17,2023 General,2023/11/07,17,4860,2023/11/07,15240,0.319
18,2023 General,2023/11/07,18,5231,2023/11/07,15531,0.337
19,2023 General,2023/11/07,19,1399,2023/11/07,8857,0.158
20,2023 General,2023/11/07,20,1550,2023/11/07,7491,0.207
21,2023 General,2023/11/07,21,13994,2023/11/07,35229,0.397
22,2023 General,2023/11/07,22,8571,2023/11/07,17186,0.499
23,2023 General,2023/11/07,23,2830,2023/11/07,14210,0.199
24,2023 General,2023/11/07,24,2687,2023/11/07,11677,0.23
25,2023 General,2023/11/07,25,2654,2023/11/07,13008,0.204
26,2023 General,2023/11/07,26,5352,2023/11/07,13631,0.393
27,2023 General,2023/11/07,27,3991,2023/11/07,19112,0.209
28,2023 General,2023/11/07,28,1905,2023/11/07,7769,0.245
29,2023 General,2023/11/07,29,2775,2023/11/07,8560,0.324
30,2023 General,2023/11/07,30,6172,2023/11/07,15617,0.395
31,2023 General,2023/11/07,31,4524,2023/11/07,13211,0.342
32,2023 General,2023/11/07,32,2929,2023/11/07,13495,0.217
33,2023 General,2023/11/07,33,1819,2023/11/07,13272,0.137
34,2023 General,2023/11/07,34,8836,2023/11/07,25363,0.348
35,2023 General,2023/11/07,35,4537,2023/11/07,18546,0.245
36,2023 General,2023/11/07,36,7981,2023/11/07,23704,0.337
37,2023 General,2023/11/07,37,1762,2023/11/07,8947,0.197
38,2023 General,2023/11/07,38,4562,2023/11/07,12944,0.352
39,2023 General,2023/11/07,39,8884,2023/11/07,26073,0.341
40,2023 General,2023/11/07,40,7334,2023/11/07,28589,0.257
41,2023 General,2023/11/07,41,2577,2023/11/07,12525,0.206
42,2023 General,2023/11/07,42,3116,2023/11/07,16178,0.193
43,2023 General,2023/11/07,43,2194,2023/11/07,12738,0.172
44,2023 General,2023/11/07,44,2517,2023/11/07,9535,0.264
45,2023 General,2023/11/07,45,3668,2023/11/07,14513,0.253
46,2023 General,2023/11/07,46,6224,2023/11/07,15763,0.395
47,2023 General,2023/11/07,47,1451,2023/11/07,7077,0.205
48,2023 General,2023/11/07,48,3675,2023/11/07,12784,0.287
49,2023 General,2023/11/07,49,4394,2023/11/07,15771,0.279
50,2023 General,2023/11/07,50,8672,2023/11/07,18804,0.461
51,2023 General,2023/11/07,51,4324,2023/11/07,14867,0.291
52,2023 General,2023/11/07,52,6638,2023/11/07,17266,0.384
53,2023 General,2023/11/07,53,3260,2023/11/07,12559,0.26
54,2023 General,2023/11/07,54,1796,2023/11/07,9108,0.197
55,2023 General,2023/11/07,55,2979,2023/11/07,12975,0.23
56,2023 General,2023/11/07,56,6014,2023/11/07,21077,0.285
57,2023 General,2023/11/07,57,5809,2023/11/07,16694,0.348
58,2023 General,2023/11/07,58,9548,2023/11/07,28012,0.341
59,2023 General,2023/11/07,59,5171,2023/11/07,15058,0.343
60,2023 General,2023/11/07,60,3927,2023/11/07,12883,0.305
61,2023 General,2023/11/07,61,5404,2023/11/07,17354,0.311
62,2023 General,2023/11/07,62,3070,2023/11/07,15748,0.195
63,2023 General,2023/11/07,63,6272,2023/11/07,15256,0.411
64,2023 General,2023/11/07,64,2537,2023/11/07,8649,0.293
65,2023 General,2023/11/07,65,4710,2023/11/07,14102,0.334
66,2023 General,2023/11/07,66,10136,2023/11/07,27833,0.364
67,2023 Primary,2023/05/16,01,5173,2023/05/16,13040,0.397
68,2023 Primary,2023/05/16,02,8502,2023/05/16,20384,0.417
69,2023 Primary,2023/05/16,03,3584,2023/05/16,13187,0.272
70,2023 Primary,2023/05/16,04,3272,2023/05/16,13164,0.249
71,2023 Primary,2023/05/16,05,11153,2023/05/16,36973,0.302
72,2023 Primary,2023/05/16,06,2362,2023/05/16,9577,0.247
73,2023 Primary,2023/05/16,07,1311,2023/05/16,12348,0.106
74,2023 Primary,2023/05/16,08,11743,2023/05/16,34462,0.341
75,2023 Primary,2023/05/16,09,6351,2023/05/16,12349,0.514
76,2023 Primary,2023/05/16,10,5874,2023/05/16,16900,0.348
77,2023 Primary,2023/05/16,11,2026,2023/05/16,9194,0.22
78,2023 Primary,2023/05/16,12,4164,2023/05/16,14918,0.279
79,2023 Primary,2023/05/16,13,3398,2023/05/16,13382,0.254
80,2023 Primary,2023/05/16,14,1703,2023/05/16,6598,0.258
81,2023 Primary,2023/05/16,15,6445,2023/05/16,14616,0.441
82,2023 Primary,2023/05/16,16,1440,2023/05/16,7500,0.192
83,2023 Primary,2023/05/16,17,4428,2023/05/16,15149,0.292
84,2023 Primary,2023/05/16,18,4714,2023/05/16,15173,0.311
85,2023 Primary,2023/05/16,19,1264,2023/05/16,8796,0.144
86,2023 Primary,2023/05/16,20,1164,2023/05/16,7070,0.165
87,2023 Primary,2023/05/16,21,11606,2023/05/16,34984,0.332
88,2023 Primary,2023/05/16,22,8056,2023/05/16,17104,0.471
89,2023 Primary,2023/05/16,23,2467,2023/05/16,14170,0.174
90,2023 Primary,2023/05/16,24,2276,2023/05/16,11225,0.203
91,2023 Primary,2023/05/16,25,2165,2023/05/16,12681,0.171
92,2023 Primary,2023/05/16,26,4293,2023/05/16,13570,0.316
93,2023 Primary,2023/05/16,27,2799,2023/05/16,18354,0.153
94,2023 Primary,2023/05/16,28,1736,2023/05/16,7743,0.224
95,2023 Primary,2023/05/16,29,2597,2023/05/16,8449,0.307
96,2023 Primary,2023/05/16,30,5749,2023/05/16,15425,0.373
97,2023 Primary,2023/05/16,31,4139,2023/05/16,12973,0.319
98,2023 Primary,2023/05/16,32,2662,2023/05/16,13220,0.201
99,2023 Primary,2023/05/16,33,1466,2023/05/16,13102,0.112
100,2023 Primary,2023/05/16,34,8043,2023/05/16,25184,0.319
101,2023 Primary,2023/05/16,35,3752,2023/05/16,18573,0.202
102,2023 Primary,2023/05/16,36,7328,2023/05/16,23333,0.314
103,2023 Primary,2023/05/16,37,1578,2023/05/16,8943,0.176
104,2023 Primary,2023/05/16,38,4130,2023/05/16,12916,0.32
105,2023 Primary,2023/05/16,39,7900,2023/05/16,26022,0.304
106,2023 Primary,2023/05/16,40,6508,2023/05/16,28484,0.228
107,2023 Primary,2023/05/16,41,2029,2023/05/16,12523,0.162
108,2023 Primary,2023/05/16,42,2549,2023/05/16,16150,0.158
109,2023 Primary,2023/05/16,43,1959,2023/05/16,12735,0.154
110,2023 Primary,2023/05/16,44,2257,2023/05/16,9412,0.24
111,2023 Primary,2023/05/16,45,2932,2023/05/16,14412,0.203
112,2023 Primary,2023/05/16,46,5987,2023/05/16,15599,0.384
113,2023 Primary,2023/05/16,47,1243,2023/05/16,6841,0.182
114,2023 Primary,2023/05/16,48,3375,2023/05/16,12795,0.264
115,2023 Primary,2023/05/16,49,4014,2023/05/16,15656,0.256
116,2023 Primary,2023/05/16,50,8094,2023/05/16,18777,0.431
117,2023 Primary,2023/05/16,51,3903,2023/05/16,14795,0.264
118,2023 Primary,2023/05/16,52,6229,2023/05/16,17235,0.361
119,2023 Primary,2023/05/16,53,2616,2023/05/16,12542,0.209
120,2023 Primary,2023/05/16,54,1441,2023/05/16,9147,0.158
121,2023 Primary,2023/05/16,55,2336,2023/05/16,12998,0.18
122,2023 Primary,2023/05/16,56,4688,2023/05/16,21183,0.221
123,2023 Primary,2023/05/16,57,4429,2023/05/16,16687,0.265
124,2023 Primary,2023/05/16,58,6723,2023/05/16,28173,0.239
125,2023 Primary,2023/05/16,59,4768,2023/05/16,14855,0.321
126,2023 Primary,2023/05/16,60,3643,2023/05/16,12710,0.287
127,2023 Primary,2023/05/16,61,4689,2023/05/16,17285,0.271
128,2023 Primary,2023/05/16,62,2502,2023/05/16,15584,0.161
129,2023 Primary,2023/05/16,63,4797,2023/05/16,15218,0.315
130,2023 Primary,2023/05/16,64,1981,2023/05/16,8714,0.227
131,2023 Primary,2023/05/16,65,3806,2023/05/16,14160,0.269
132,2023 Primary,2023/05/16,66,7452,2023/05/16,27766,0.268
133,2022 General,2022/11/08,01,8131,2022/11/08,13589,0.598
134,2022 General,2022/11/08,02,13322,2022/11/08,21152,0.63
135,2022 General,2022/11/08,03,6257,2022/11/08,13730,0.456
136,2022 General,2022/11/08,04,5736,2022/11/08,13794,0.416
137,2022 General,2022/11/08,05,20241,2022/11/08,39037,0.519
138,2022 General,2022/11/08,06,4143,2022/11/08,10225,0.405
139,2022 General,2022/11/08,07,3135,2022/11/08,13234,0.237
140,2022 General,2022/11/08,08,20364,2022/11/08,36766,0.554
141,2022 General,2022/11/08,09,9194,2022/11/08,12838,0.716
142,2022 General,2022/11/08,10,8947,2022/11/08,17450,0.513
143,2022 General,2022/11/08,11,3534,2022/11/08,9797,0.361
144,2022 General,2022/11/08,12,6584,2022/11/08,15547,0.423
145,2022 General,2022/11/08,13,5695,2022/11/08,13956,0.408
146,2022 General,2022/11/08,14,3208,2022/11/08,6838,0.469
147,2022 General,2022/11/08,15,9915,2022/11/08,15062,0.658
148,2022 General,2022/11/08,16,2612,2022/11/08,7942,0.329
149,2022 General,2022/11/08,17,7062,2022/11/08,15731,0.449
150,2022 General,2022/11/08,18,8614,2022/11/08,15611,0.552
151,2022 General,2022/11/08,19,2656,2022/11/08,9302,0.286
152,2022 General,2022/11/08,20,2661,2022/11/08,7512,0.354
153,2022 General,2022/11/08,21,22196,2022/11/08,36177,0.614
154,2022 General,2022/11/08,22,11192,2022/11/08,17707,0.632
155,2022 General,2022/11/08,23,4951,2022/11/08,14883,0.333
156,2022 General,2022/11/08,24,4574,2022/11/08,11938,0.383
157,2022 General,2022/11/08,25,4533,2022/11/08,13219,0.343
158,2022 General,2022/11/08,26,7929,2022/11/08,13889,0.571
159,2022 General,2022/11/08,27,7191,2022/11/08,21073,0.341
160,2022 General,2022/11/08,28,3024,2022/11/08,8085,0.374
161,2022 General,2022/11/08,29,4538,2022/11/08,8783,0.517
162,2022 General,2022/11/08,30,9739,2022/11/08,16010,0.608
163,2022 General,2022/11/08,31,7441,2022/11/08,13444,0.553
164,2022 General,2022/11/08,32,5020,2022/11/08,14022,0.358
165,2022 General,2022/11/08,33,3706,2022/11/08,13773,0.269
166,2022 General,2022/11/08,34,13010,2022/11/08,26109,0.498
167,2022 General,2022/11/08,35,7869,2022/11/08,19259,0.409
168,2022 General,2022/11/08,36,12601,2022/11/08,24105,0.523
169,2022 General,2022/11/08,37,3011,2022/11/08,9559,0.315
170,2022 General,2022/11/08,38,6970,2022/11/08,13489,0.517
171,2022 General,2022/11/08,39,13883,2022/11/08,26887,0.516
172,2022 General,2022/11/08,40,12227,2022/11/08,29589,0.413
173,2022 General,2022/11/08,41,4719,2022/11/08,13025,0.362
174,2022 General,2022/11/08,42,5478,2022/11/08,16810,0.326
175,2022 General,2022/11/08,43,3998,2022/11/08,13463,0.297
176,2022 General,2022/11/08,44,3875,2022/11/08,9989,0.388
177,2022 General,2022/11/08,45,6078,2022/11/08,14929,0.407
178,2022 General,2022/11/08,46,8962,2022/11/08,16450,0.545
179,2022 General,2022/11/08,47,2646,2022/11/08,7272,0.364
180,2022 General,2022/11/08,48,5987,2022/11/08,13248,0.452
181,2022 General,2022/11/08,49,6901,2022/11/08,16322,0.423
182,2022 General,2022/11/08,50,11268,2022/11/08,19332,0.583
183,2022 General,2022/11/08,51,6630,2022/11/08,15433,0.43
184,2022 General,2022/11/08,52,9592,2022/11/08,18181,0.528
185,2022 General,2022/11/08,53,5677,2022/11/08,13059,0.435
186,2022 General,2022/11/08,54,3533,2022/11/08,9664,0.366
187,2022 General,2022/11/08,55,5340,2022/11/08,13718,0.389
188,2022 General,2022/11/08,56,10171,2022/11/08,22167,0.459
189,2022 General,2022/11/08,57,9079,2022/11/08,17196,0.528
190,2022 General,2022/11/08,58,15677,2022/11/08,29111,0.539
191,2022 General,2022/11/08,59,7454,2022/11/08,15555,0.479
192,2022 General,2022/11/08,60,6050,2022/11/08,13485,0.449
193,2022 General,2022/11/08,61,8243,2022/11/08,17908,0.46
194,2022 General,2022/11/08,62,5740,2022/11/08,16303,0.352
195,2022 General,2022/11/08,63,9493,2022/11/08,15669,0.606
196,2022 General,2022/11/08,64,4129,2022/11/08,9172,0.45
197,2022 General,2022/11/08,65,7238,2022/11/08,14801,0.489
198,2022 General,2022/11/08,66,15794,2022/11/08,28515,0.554
199,2022 Primary,2022/05/17,01,4933,2022/05/13,13293,0.371
200,2022 Primary,2022/05/17,02,7400,2022/05/13,20626,0.359
201,2022 Primary,2022/05/17,03,3066,2022/05/13,13433,0.228
202,2022 Primary,2022/05/17,04,2617,2022/05/13,13450,0.195
203,2022 Primary,2022/05/17,05,9862,2022/05/13,37119,0.266
204,2022 Primary,2022/05/17,06,1987,2022/05/13,10054,0.198
205,2022 Primary,2022/05/17,07,820,2022/05/13,13057,0.063
206,2022 Primary,2022/05/17,08,10350,2022/05/13,34524,0.3
207,2022 Primary,2022/05/17,09,5961,2022/05/13,12595,0.473
208,2022 Primary,2022/05/17,10,4876,2022/05/13,17280,0.282
209,2022 Primary,2022/05/17,11,1686,2022/05/13,9510,0.177
210,2022 Primary,2022/05/17,12,3398,2022/05/13,15358,0.221
211,2022 Primary,2022/05/17,13,2777,2022/05/13,13744,0.202
212,2022 Primary,2022/05/17,14,1427,2022/05/13,6514,0.219
213,2022 Primary,2022/05/17,15,5559,2022/05/13,14482,0.384
214,2022 Primary,2022/05/17,16,1137,2022/05/13,7838,0.145
215,2022 Primary,2022/05/17,17,3666,2022/05/13,15504,0.236
216,2022 Primary,2022/05/17,18,3916,2022/05/13,14973,0.262
217,2022 Primary,2022/05/17,19,827,2022/05/13,9186,0.09
218,2022 Primary,2022/05/17,20,930,2022/05/13,7005,0.133
219,2022 Primary,2022/05/17,21,11192,2022/05/13,35175,0.318
220,2022 Primary,2022/05/17,22,7095,2022/05/13,17450,0.407
221,2022 Primary,2022/05/17,23,1959,2022/05/13,14672,0.134
222,2022 Primary,2022/05/17,24,1960,2022/05/13,11212,0.175
223,2022 Primary,2022/05/17,25,1877,2022/05/13,12761,0.147
224,2022 Primary,2022/05/17,26,3903,2022/05/13,13605,0.287
225,2022 Primary,2022/05/17,27,2421,2022/05/13,19483,0.124
226,2022 Primary,2022/05/17,28,1416,2022/05/13,8011,0.177
227,2022 Primary,2022/05/17,29,2079,2022/05/13,8403,0.247
228,2022 Primary,2022/05/17,30,4915,2022/05/13,15181,0.324
229,2022 Primary,2022/05/17,31,3584,2022/05/13,12862,0.279
230,2022 Primary,2022/05/17,32,2124,2022/05/13,13677,0.155
231,2022 Primary,2022/05/17,33,1095,2022/05/13,13665,0.08
232,2022 Primary,2022/05/17,34,6365,2022/05/13,25765,0.247
233,2022 Primary,2022/05/17,35,3103,2022/05/13,19080,0.163
234,2022 Primary,2022/05/17,36,6118,2022/05/13,23535,0.26
235,2022 Primary,2022/05/17,37,1212,2022/05/13,9501,0.128
236,2022 Primary,2022/05/17,38,3701,2022/05/13,13243,0.279
237,2022 Primary,2022/05/17,39,7337,2022/05/13,26521,0.277
238,2022 Primary,2022/05/17,40,5176,2022/05/13,29051,0.178
239,2022 Primary,2022/05/17,41,1834,2022/05/13,12898,0.142
240,2022 Primary,2022/05/17,42,1834,2022/05/13,16724,0.11
241,2022 Primary,2022/05/17,43,1579,2022/05/13,13358,0.118
242,2022 Primary,2022/05/17,44,1887,2022/05/13,9695,0.195
243,2022 Primary,2022/05/17,45,2913,2022/05/13,14808,0.197
244,2022 Primary,2022/05/17,46,5212,2022/05/13,15940,0.327
245,2022 Primary,2022/05/17,47,984,2022/05/13,6823,0.144
246,2022 Primary,2022/05/17,48,2872,2022/05/13,13113,0.219
247,2022 Primary,2022/05/17,49,3146,2022/05/13,16055,0.196
248,2022 Primary,2022/05/17,50,6828,2022/05/13,19239,0.355
249,2022 Primary,2022/05/17,51,3297,2022/05/13,15178,0.217
250,2022 Primary,2022/05/17,52,5132,2022/05/13,17818,0.288
251,2022 Primary,2022/05/17,53,2381,2022/05/13,12975,0.184
252,2022 Primary,2022/05/17,54,1311,2022/05/13,9684,0.135
253,2022 Primary,2022/05/17,55,2226,2022/05/13,13832,0.161
254,2022 Primary,2022/05/17,56,4661,2022/05/13,22104,0.211
255,2022 Primary,2022/05/17,57,4496,2022/05/13,17144,0.262
256,2022 Primary,2022/05/17,58,7496,2022/05/13,28939,0.259
257,2022 Primary,2022/05/17,59,3983,2022/05/13,15332,0.26
258,2022 Primary,2022/05/17,60,3152,2022/05/13,13115,0.24
259,2022 Primary,2022/05/17,61,3751,2022/05/13,17754,0.211
260,2022 Primary,2022/05/17,62,1998,2022/05/13,16128,0.124
261,2022 Primary,2022/05/17,63,4796,2022/05/13,15520,0.309
262,2022 Primary,2022/05/17,64,1979,2022/05/13,9193,0.215
263,2022 Primary,2022/05/17,65,3772,2022/05/13,14673,0.257
264,2022 Primary,2022/05/17,66,7959,2022/05/13,28350,0.281
265,2021 General,2021/11/02,01,4345,2021/11/02,13233,0.328
266,2021 General,2021/11/02,02,6860,2021/11/02,20406,0.336
267,2021 General,2021/11/02,03,2628,2021/11/02,13532,0.194
268,2021 General,2021/11/02,04,2335,2021/11/02,13547,0.172
269,2021 General,2021/11/02,05,9343,2021/11/02,36615,0.255
270,2021 General,2021/11/02,06,1710,2021/11/02,10164,0.168
271,2021 General,2021/11/02,07,774,2021/11/02,13145,0.059
272,2021 General,2021/11/02,08,10134,2021/11/02,34208,0.296
273,2021 General,2021/11/02,09,5506,2021/11/02,12514,0.44
274,2021 General,2021/11/02,10,4317,2021/11/02,17411,0.248
275,2021 General,2021/11/02,11,1490,2021/11/02,9602,0.155
276,2021 General,2021/11/02,12,2946,2021/11/02,15399,0.191
277,2021 General,2021/11/02,13,2598,2021/11/02,13874,0.187
278,2021 General,2021/11/02,14,1280,2021/11/02,6445,0.199
279,2021 General,2021/11/02,15,5195,2021/11/02,14371,0.361
280,2021 General,2021/11/02,16,1028,2021/11/02,7920,0.13
281,2021 General,2021/11/02,17,3244,2021/11/02,15625,0.208
282,2021 General,2021/11/02,18,3500,2021/11/02,14763,0.237
283,2021 General,2021/11/02,19,697,2021/11/02,9251,0.075
284,2021 General,2021/11/02,20,848,2021/11/02,7014,0.121
285,2021 General,2021/11/02,21,10306,2021/11/02,34856,0.296
286,2021 General,2021/11/02,22,6328,2021/11/02,17489,0.362
287,2021 General,2021/11/02,23,1866,2021/11/02,14776,0.126
288,2021 General,2021/11/02,24,1696,2021/11/02,11227,0.151
289,2021 General,2021/11/02,25,1877,2021/11/02,12728,0.147
290,2021 General,2021/11/02,26,4010,2021/11/02,13504,0.297
291,2021 General,2021/11/02,27,2402,2021/11/02,19362,0.124
292,2021 General,2021/11/02,28,1239,2021/11/02,8054,0.154
